          GLOBAL ORDERING          		   PAGE FAULT SEQUENCE  		RESIDENT FRAME
Timestamp  ProcessIndex  PageNumber		ProcessIndex  PageNumber		    Number    
        1             0           0		           0           0		       0      
        2             1           0		           1           0		       1      
        3             2           4		           2           4		       2      
        4             0           0		                        		       0      
        5             0           0		                        		       0      
        6             0           1		           0           1		       3      
        7             1           0		                        		       1      
        8             1           1		           1           1		       4      
        9             2           4		                        		       2      
       10             2           3		           2           3		       5      
       11             0           1		                        		       3      
       12             0           0		                        		       0      
       13             0           0		                        		       0      
       14             0           1		                        		       3      
       15             0           0		                        		       0      
       16             0           0		                        		       0      
       17             0           0		                        		       0      
       18             0           1		                        		       3      
       19             0           0		                        		       0      
       20             0           1		                        		       3      
       21             0           0		                        		       0      
       22             0           1		                        		       3      
       23             0           0		                        		       0      
       24             0           1		                        		       3      
       25             0           1		                        		       3      
       26             0           1		                        		       3      
       27             0          -9		
       28             1           1		                        		       4      
       29             1           0		                        		       1      
       30             1           0		                        		       1      
       31             1           1		                        		       4      
       32             1           0		                        		       1      
       33             1           1		                        		       4      
       34             1           0		                        		       1      
       35             1           1		                        		       4      
       36             1           0		                        		       1      
       37             1           1		                        		       4      
       38             1           0		                        		       1      
       39             1           0		                        		       1      
       40             1           1		                        		       4      
       41             1           0		                        		       1      
       42             1           1		                        		       4      
       43             1          -9		
       44             2           3		                        		       5      
       45             2           4		                        		       2      
       46             2           8		           2           8		       0      
       47             2           8		                        		       0      
       48             2           9		           2           9		       1      
       49             2           9		                        		       1      
       50             2           8		                        		       0      
       51             2           9		                        		       1      
       52             2           0		           2           0		       3      
       53             2           0		                        		       3      
       54             2           1		           2           1		       4      
       55             2           1		                        		       4      
       56             2           6		           2           6		       6      
       57             2           6		                        		       6      
       58             2           0		                        		       3      
       59             2           1		                        		       4      
       60             2           2		           2           2		       7      
       61             2           2		                        		       7      
       62             2           5		           2           5		       8      
       63             2           5		                        		       8      
       64             2           1		                        		       4      
       65             2           2		                        		       7      
       66             2           3		                        		       5      
       67             2           1		                        		       4      
       68             2           2		                        		       7      
       69             2           7		           2           7		       9      
       70             2           7		                        		       9      
       71             2           0		                        		       3      
       72             2           2		                        		       7      
       73             2           2		                        		       7      
       74             2           3		                        		       5      
       75             2           4		                        		       2      
       76             2           5		                        		       8      
       77             2           6		                        		       6      
       78             2           8		                        		       0      
       79             2           9		                        		       1      
       80             2           0		                        		       3      
       81             2           0		                        		       3      
       82             2           7		                        		       9      
       83             2           8		                        		       0      
       84             2           9		                        		       1      
       85             2           9		                        		       1      
       86             2           1		                        		       4      
       87             2           2		                        		       7      
       88             2           3		                        		       5      
       89             2           4		                        		       2      
       90             2           0		                        		       3      
       91             2           3		                        		       5      
       92             2           8		                        		       0      
       93             2           9		                        		       1      
       94             2           0		                        		       3      
       95             2           6		                        		       6      
       96             2           7		                        		       9      
       97             2           8		                        		       0      
       98             2           9		                        		       1      
       99             2           0		                        		       3      
      100             2           1		                        		       4      
      101             2           7		                        		       9      
      102             2           4		                        		       2      
      103             2           5		                        		       8      
      104             2           9		                        		       1      
      105             2           0		                        		       3      
      106             2           3		                        		       5      
      107             2           4		                        		       2      
      108             2           5		                        		       8      
      109             2           7		                        		       9      
      110             2           3		                        		       5      
      111             2           8		                        		       0      
      112             2           2		                        		       7      
      113             2           3		                        		       5      
      114             2           7		                        		       9      
      115             2           6		                        		       6      
      116             2           0		                        		       3      
      117             2           1		                        		       4      
      118             2           2		                        		       7      
      119             2           0		                        		       3      
      120             2           1		                        		       4      
      121             2           3		                        		       5      
      122             2           7		                        		       9      
      123             2           8		                        		       0      
      124             2           7		                        		       9      
      125             2           8		                        		       0      
      126             2           4		                        		       2      
      127             2           6		                        		       6      
      128             2           1		                        		       4      
      129             2           2		                        		       7      
      130             2           7		                        		       9      
      131             2           6		                        		       6      
      132             2           4		                        		       2      
      133             2           4		                        		       2      
      134             2           5		                        		       8      
      135             2           8		                        		       0      
      136             2           3		                        		       5      
      137             2           4		                        		       2      
      138             2           5		                        		       8      
      139             2           6		                        		       6      
      140             2          -9		
