Static	Dynamic	Guided
0.000797624	0.000824124	0.000824654
0.000466384	0.000441975	0.000448023
0.000334153	0.000318664	0.000337574
0.000290817	0.000240631	0.000268858
0.000246284	0.000207222	0.000255633
0.000229575	0.000176185	0.000229946
0.000217984	0.000162803	0.000218896
0.000202526	0.000146864	0.000204132
0.000193088	0.00013806	0.000199923
0.000173641	0.000127228	0.000192568
0.000177964	0.000124715	0.000191054
0.000167212	0.000119035	0.000183615
0.000165577	0.000116937	0.000180534
0.00015745	0.000117717	0.000173955
0.000152556	0.000118368	0.000176982
0.000157856	0.000116792	0.000171832
0.000154922	0.000117171	0.000176106
0.000154148	0.000119353	0.000166601
0.000148009	0.000122774	0.000168316
0.000148663	0.000120672	0.000168092
0.00014985	0.000122194	0.000163318
0.000145973	0.000121592	0.000166995
0.000149386	0.00012659	0.000175485
0.000145649	0.00012758	0.000166021
